epoch,train_r1_to_r2,val_r1_to_r2,train_r2_to_r1,val_r2_to_r1
1,0.0022303322612642045,1.5217332929751137e-05,0.003653921572676312,2.454377588909832e-05
2,0.00010687152887431937,8.099832094948007e-05,0.00019962500730341147,0.0004620042009450191
3,0.00014505589620090347,0.0010576179965009571,0.00016040959399111698,0.001611636198429885
4,0.00022600060331660752,6.68838707423099e-05,0.0004718329508004164,2.1302049617588636e-06
5,0.00013395882843528014,0.00013862666124549256,0.0002058607068731617,6.654327818273022e-06
6,8.54759743502716e-05,8.090874941017876e-06,8.229924711745007e-05,1.4911620475723627e-05
7,0.00010279601722667843,7.206544503379537e-05,0.00015792119509885566,2.546574372835104e-06
8,8.433351285820547e-05,0.00016037172923572552,0.00013787493285918485,4.4271254985372304e-05
9,9.450771665301331e-05,5.779741840509517e-05,0.00010018020308421281,1.4199828289135012e-05
10,6.535360221503002e-05,4.0666878555143464e-05,7.834639066555748e-05,7.833811010567267e-06
11,6.110129763588599e-05,0.00012664448817935298,0.00013393417323770646,3.7019565576085777e-06
12,6.69121654383009e-05,0.0009100553134161675,5.93671514586284e-05,0.00012211722059873864
13,6.108390322031074e-05,2.1695090049897956e-05,5.1697547731064893e-05,4.137758995576795e-05
14,4.962542423645825e-05,0.00012893713373697972,6.92006976520469e-05,6.272703701272673e-05
15,4.853235067643127e-05,2.386743878504399e-05,9.325669125290233e-05,2.4902862048979935e-05
16,5.217493983120146e-05,0.00012549456636295464,5.077155952046814e-05,5.0852996481603904e-05
17,4.663046344685031e-05,7.770001265067103e-05,4.239941243414021e-05,0.00019692773134827765
18,6.0365724727705706e-05,1.9843423838117776e-05,6.336915726929124e-05,8.58029020677424e-06
19,3.9812642192848505e-05,0.00024965745860197565,6.614282990905018e-05,6.79843794888275e-05
20,5.779717175333267e-05,9.516492310486144e-05,5.896044494277322e-05,1.4075799615001211e-05
21,3.05795357664149e-05,2.93835740621387e-05,3.762136520369514e-05,0.0003739175899310646
22,5.0248629816147386e-05,7.450736756236067e-06,5.4154280125062534e-05,3.925043473623655e-05
23,3.095488172200643e-05,9.512147539216854e-05,3.338304685683976e-05,0.00014488940530786842
24,2.6927758236262617e-05,8.167645798067143e-05,5.194187788406513e-05,6.382568738315188e-05
25,3.0748093589001536e-05,2.6041320371423726e-05,4.982464103054263e-05,3.3323019811270606e-06
26,4.257407478708507e-05,0.00010209060750714009,5.9370225975023256e-05,1.9489670314808847e-05
27,3.072641072927456e-05,0.00013738956774005248,3.4261288857536383e-05,0.0011779235138995002
28,2.52441024962376e-05,1.3082528219419313e-05,4.463608323543287e-05,1.5824316153380002e-05
29,4.734306433620757e-05,1.940367128925721e-05,3.083411655731857e-05,4.5803676120882224e-05
30,1.9638044925029734e-05,4.9415264324384876e-05,3.82640559507146e-05,2.387774942950013e-05
31,2.4826743849114766e-05,1.414589003764618e-05,3.8600095046469166e-05,9.006972263426976e-06
32,3.0143978028416564e-05,1.6364657860359163e-05,3.578299149203753e-05,1.1968311791489975e-05
33,4.4433811049438506e-05,3.3445452776950145e-05,3.763401679008457e-05,0.00014012571053320484
34,8.711753740258998e-06,1.6950795920170742e-05,3.3088102048994484e-05,3.4256808564294965e-05
35,2.5824179030252678e-05,2.633566502797238e-06,3.261451121185991e-05,5.187444035722624e-06
36,2.952336809133995e-05,1.5034328396500406e-05,3.2860889866595626e-05,6.634441041922177e-05
37,2.1140969463647924e-05,1.8508480813895347e-05,3.7387281067687794e-05,2.9610582621861962e-05
38,2.7826565872270026e-05,1.3793293939150836e-05,3.560931388748702e-05,1.223666328899396e-05
39,2.0781514507770467e-05,1.7398732455019073e-05,3.0596720518502395e-05,1.0053736972696817e-05
40,4.248378426104146e-05,2.069280647131619e-06,2.5699208988507095e-05,8.107715311965951e-06
41,1.3415068343037102e-05,3.3618013155634746e-05,3.1317811498251e-05,4.284583167423173e-06
42,1.685129063185956e-05,4.6505970036675107e-05,2.461825807554322e-05,3.1321195318905296e-05
43,2.1915125601983593e-05,1.3407374576579932e-05,3.013967601850407e-05,1.4837507887004533e-05
44,2.3795193732904825e-05,6.438582914244985e-06,3.703277580599119e-05,5.9659275987597744e-06
45,2.136715700015499e-05,9.05185919580209e-06,1.885927803665469e-05,6.413807095297522e-06
46,1.8906112992381244e-05,1.2569452495399116e-05,2.903947037436736e-05,2.70568535616265e-05
47,2.3146244787606775e-05,4.670757590822771e-05,3.427901899514323e-05,1.7086246390711177e-05
48,2.5140255544914768e-05,7.088772634938787e-06,3.844849177664869e-05,1.507375026105773e-06
49,7.3016754671082965e-06,2.1580599979865744e-05,1.2346591737061472e-05,1.0046940518322469e-05
50,2.823646276004735e-05,6.0790880450774556e-05,2.4238571922232708e-05,3.8744267826308605e-06
51,1.4810770727885483e-05,2.7271273480362985e-06,1.9718970702287776e-05,1.4648163062015463e-05
