epoch,train_r1_to_r2,val_r1_to_r2,train_r2_to_r1,val_r2_to_r1
1,0.0010737376315621376,0.00010491054995420237,0.0010107917041772567,0.00020308659500466202
2,9.690426212430885e-05,0.00013149815499580617,8.277466180619184e-05,0.00013063439636964029
3,9.367695853402147e-05,0.000826705661150912,8.892555617906666e-05,0.00031409424650055185
4,0.00010485450967314495,5.037082671466977e-05,0.00010625732426720279,3.7584339484705455e-05
5,8.279307689506503e-05,0.00013660207547886507,5.456707001345603e-05,0.00013536419572453585
6,6.916689098054957e-05,0.0001242910911969375,8.164714802191994e-05,4.5656648135449436e-05
7,8.241018661194221e-05,0.0003149520623027252,7.394149243672318e-05,0.00020458855994677703
8,6.225875867283022e-05,5.0745797644984645e-05,6.872514128098076e-05,3.144445191556232e-05
9,7.071743924884812e-05,5.36736889833784e-05,4.7819506312928735e-05,4.361704158123312e-05
10,6.058716911947399e-05,0.00010149283977569917,6.472910782841347e-05,9.468032472721796e-05
11,6.104834754798933e-05,4.0601294075509495e-05,4.809067212864067e-05,3.2358194792842756e-05
12,4.5394342131152286e-05,4.920367316618486e-05,4.6833156871103005e-05,6.310357453838485e-05
13,4.8300581332457624e-05,6.063402372314975e-05,4.7502758620580404e-05,5.0746998066624286e-05
14,5.7652031547940824e-05,6.348461803489564e-05,3.687283790471313e-05,0.00014417073506759763
15,3.946750781210128e-05,0.00020536689630624058,4.276485066451811e-05,8.826198616737443e-05
16,3.716866331654112e-05,3.5029997128063135e-05,3.347089705185057e-05,3.4575324801209013e-05
17,4.3700527997407445e-05,4.186848799486607e-05,3.217510377231274e-05,6.528271942628709e-05
18,3.899031276499026e-05,0.0001402507515027834,3.14403188952134e-05,0.00021390716485294265
19,3.4198567208618995e-05,4.1456100118420164e-05,3.607828814391481e-05,6.303705873617627e-05
20,3.378601311070391e-05,2.61270111803576e-05,2.741882335953e-05,2.5554343331035e-05
21,3.340628945335359e-05,5.7870072145751504e-05,2.7747328207277694e-05,4.373770099512197e-05
22,3.605384270253371e-05,2.7676394948889074e-05,2.7832165479200693e-05,1.630539211372688e-05
23,3.207990717800658e-05,2.9078214872558364e-05,2.805648797984364e-05,1.8597532187191158e-05
24,3.1533986642091064e-05,2.663849290354624e-05,2.273304550372244e-05,1.5264622904897823e-05
25,2.8600906338796525e-05,2.068552436997249e-05,2.072806406284471e-05,3.5098486125430005e-05
26,2.6520966412629443e-05,5.08370484734472e-05,2.5075779001834145e-05,3.935819341324755e-05
27,2.801347807303857e-05,3.377973612538083e-05,2.1619858744834588e-05,0.00011171987835598197
28,2.5986491306918375e-05,3.347259863236401e-05,2.310407954479573e-05,2.1811004425755378e-05
29,2.7319806381713963e-05,3.097099393852083e-05,2.1396138358208777e-05,1.386925459326226e-05
30,2.6866561631270177e-05,3.4139923906079686e-05,2.0058470931076457e-05,5.511580445959318e-05
31,2.480665894634554e-05,8.491192917916829e-05,1.8613476696297554e-05,2.171785405264426e-05
32,2.3019039820339505e-05,2.2289949996849493e-05,2.178209964179985e-05,2.4596149865383452e-05
33,2.663809851886009e-05,3.582651192935336e-05,2.0311690456904395e-05,2.528900175984374e-05
34,2.3505747768973463e-05,6.585818378620647e-05,1.4482705091887457e-05,1.5559705268376036e-05
35,2.048691371273056e-05,3.2713782627756794e-05,1.8652897233441193e-05,4.576370716974025e-05
36,2.551969736409187e-05,3.357564477185833e-05,1.708412914554991e-05,2.6170035959453065e-05
37,1.9642800128115872e-05,3.850186843994045e-05,1.6249628307751974e-05,3.289820107260757e-05
38,2.055169508834729e-05,4.7797191135552044e-05,1.4818963245378994e-05,2.7670426974583854e-05
39,2.2122458471574042e-05,1.5191020811842612e-05,1.593788944299089e-05,1.5340755147249462e-05
40,2.1449664486204048e-05,2.6045339558438674e-05,1.629400723173116e-05,1.0188119455162858e-05
41,1.830348587322214e-05,2.2271688215610362e-05,1.580569049942237e-05,7.584497362419212e-06
42,1.8386976355187735e-05,3.5452313419895924e-05,1.4377893265287777e-05,1.4090918293917714e-05
43,1.9553391682612485e-05,1.089077639855012e-05,1.3059713449752793e-05,3.851122199899246e-05
44,1.857020625327048e-05,2.0510286494569227e-05,1.3777064182046924e-05,1.7061637663573492e-05
45,1.6826383436507657e-05,1.7787879994789458e-05,1.126499335307776e-05,2.431098550450584e-05
46,2.325932001167201e-05,2.5444336921393595e-05,1.4631427129599387e-05,7.203215443728461e-06
47,1.4973407366264382e-05,1.8063382236616643e-05,1.297742178438285e-05,8.085037901467758e-06
48,1.664448399807033e-05,1.790116254355502e-05,1.3414551542420593e-05,8.681009826339468e-06
49,1.9028505491994808e-05,1.496410304382004e-05,1.316477542469681e-05,8.273812835220585e-06
50,1.312315375595826e-05,5.077423520560842e-05,1.0843914234936141e-05,9.440261678440836e-06
51,1.5563236674447398e-05,1.663205765518277e-05,1.0485024035087248e-05,6.0553617347569366e-06
52,1.5456882474839692e-05,6.067158889835605e-05,1.236639042073724e-05,1.5725363157668782e-05
53,1.963789783647797e-05,1.2072468024951154e-05,1.1621325768031092e-05,1.8563765368117874e-05
54,1.2206341839631454e-05,9.347783268785119e-06,1.1209867140576368e-05,1.755749958554551e-05
55,1.546487097328038e-05,1.2010217799296678e-05,9.97963241194602e-06,6.405267923787041e-06
56,1.5823668996828635e-05,2.5280974949389337e-05,1.14694682851847e-05,3.219229701968214e-05
57,1.3627370273546348e-05,1.690777459344292e-05,1.0692608877085517e-05,6.544578869876687e-06
58,1.4525825409593965e-05,3.5741477237321786e-05,9.877808158874943e-06,3.5483534554018385e-05
59,1.3793893423187645e-05,2.6837624671093275e-05,1.189774495103253e-05,3.176152667761851e-05
60,1.3146026155764059e-05,2.9338621729670083e-05,9.204896285602589e-06,6.738628394951051e-06
61,1.3517871060459135e-05,1.1301317880104167e-05,1.086470830001687e-05,1.8692762129218435e-05
62,1.5367815675151548e-05,2.000586384235007e-05,1.1626014999289845e-05,2.0312296012945104e-05
63,1.4035473225399857e-05,8.954632281826462e-06,1.247297953520158e-05,1.922048519116622e-05
64,1.3442520672366854e-05,4.759820991721983e-05,6.209112105427291e-06,1.0671210753682725e-05
65,1.123653888401024e-05,1.131762279996741e-05,9.28938076409193e-06,7.380395424420106e-06
66,1.1967255787140638e-05,1.6515222555148173e-05,9.928952225072973e-06,5.0156533308502415e-06
67,1.217763033765189e-05,4.404569726923038e-06,8.883490480921734e-06,9.254564395874064e-06
68,1.2737296963873375e-05,1.699759291206684e-05,8.660552311165942e-06,8.679269508227626e-06
69,1.0755268037052017e-05,1.1297397549594966e-05,8.010791890202244e-06,2.1689243483854866e-05
70,1.3026533745394704e-05,1.4034201415467709e-05,1.0623019602544873e-05,8.446594782591482e-06
71,1.0693109016340552e-05,8.613414658092161e-06,7.642214268014976e-06,1.1362631372618608e-05
72,1.255988011955341e-05,4.7061873133037695e-05,9.973096105012174e-06,1.651286027258813e-05
73,9.690961987805734e-06,2.7743330213766336e-05,7.204692822205617e-06,3.831515927027349e-06
74,1.1978796331127106e-05,7.106520370700532e-06,7.891733223231948e-06,1.1450333157863126e-05
75,1.1035235800139177e-05,1.2236655242750016e-05,8.563521212151342e-06,4.998984316128427e-06
76,1.0824046648191357e-05,1.5334381352696088e-05,1.0645988850919776e-05,5.614128491399651e-06
77,1.0790689633233344e-05,1.0191665649249536e-05,6.182770111146211e-06,2.709770613791432e-06
78,1.1773862765197649e-05,9.440669707461838e-06,6.958275003382832e-06,7.872245588464003e-06
79,9.230682768418935e-06,8.68751293619054e-06,8.333474853915162e-06,5.69378026943459e-06
80,1.1359198985983323e-05,1.3745909979791446e-05,7.49473007755115e-06,6.170653013938062e-06
81,9.226009523806046e-06,1.680549597467132e-05,9.182658151658443e-06,5.631518851426948e-06
82,1.0151526117378848e-05,2.0533983249096103e-05,6.557460462720612e-06,5.4594806155067515e-06
83,1.1411136326570566e-05,8.422430598830962e-06,7.351935907434214e-06,1.4236641414309092e-05
84,9.873822525718099e-06,2.1645847074087587e-05,7.569233125826034e-06,5.4305402481615455e-06
85,1.0694357733092587e-05,5.735253608338321e-06,7.888838542683612e-06,6.019337020842038e-06
86,1.0587581762722349e-05,1.7367872826479452e-05,7.0855527859039965e-06,1.5551490285323947e-05
87,9.36541521672063e-06,7.341959640050808e-06,6.498869552917611e-06,1.993343853335281e-05
88,9.151586308238822e-06,2.4162618353088595e-05,7.46961598518264e-06,1.7982610736035727e-05
89,9.622781842282287e-06,1.5893037359593126e-05,8.386325477211213e-06,6.163905955334633e-06
90,1.1577183765776067e-05,1.5411534280117068e-05,6.6495248321508395e-06,1.2439863217061466e-05
91,7.322681501160822e-06,1.4091808726352982e-05,6.50625816225703e-06,9.09223268647519e-06
92,1.1490626419403757e-05,1.580920690351061e-05,6.199303826437863e-06,5.527740322762912e-06
93,8.888234802984407e-06,6.4805431251517465e-06,6.9077030148377114e-06,6.266635663989142e-05
94,1.1381276895814708e-05,1.0505938555107438e-05,8.89332860126612e-06,3.8375954536419085e-06
95,7.013711624972283e-06,1.0992102442268871e-05,5.3207596595660385e-06,9.500524788099751e-06
96,1.0496882195962141e-05,1.1742822904607795e-05,7.337028211235689e-06,8.00146154242797e-06
97,8.456007142946674e-06,1.1699053982515672e-05,5.742508861368646e-06,6.4406394163337865e-06
98,1.0200538428654713e-05,6.704504524962858e-06,6.0451123178430295e-06,6.877459053593695e-06
99,8.019935103933746e-06,7.76236113927794e-06,6.214955670117994e-06,2.5774470245500086e-05
100,1.3331008154248574e-05,1.0997786357249276e-05,6.421809741968746e-06,7.5381093183193806e-06
